,URL,Company_Name,Industry
74,https://en.wikipedia.org//wiki/Dewey_%26_LeBoeuf,Dewey & LeBoeuf,law firms
75,https://en.wikipedia.org//wiki/Dime_Savings_Bank_of_Williamsburgh,Dime Savings Bank of Williamsburgh,financial services
76,https://en.wikipedia.org//wiki/DKNY,DKNY,fashion
77,https://en.wikipedia.org//wiki/DormAid,DormAid,Consumer services
78,https://en.wikipedia.org//wiki/DoubleClick,DoubleClick,Internet
79,https://en.wikipedia.org//wiki/Dow_Jones_%26_Company,Dow Jones & Company,media
80,https://en.wikipedia.org//wiki/E*TRADE,E*TRADE,financial services
81,https://en.wikipedia.org//wiki/EmblemHealth,EmblemHealth,insurance
82,https://en.wikipedia.org//wiki/Emigrant_Savings_Bank,Emigrant Savings Bank,financial services
83,https://en.wikipedia.org//wiki/EMusic,EMusic,Internet
84,https://en.wikipedia.org//wiki/EquityZen,EquityZen,Financial services
85,https://en.wikipedia.org//wiki/Ernst_%26_Young,Ernst & Young,accounting
86,https://en.wikipedia.org//wiki/Est%C3%A9e_Lauder_Companies,Est?e Lauder Companies,fashion
87,https://en.wikipedia.org//wiki/Etsy,Etsy,Internet
88,https://en.wikipedia.org//wiki/Evercore_Partners,Evercore Partners,financial services
89,https://en.wikipedia.org//wiki/Fairchild_Fashion_Group,Fairchild Fashion Group,media
90,https://en.wikipedia.org//wiki/Fairway_Market,Fairway Market,retail
91,https://en.wikipedia.org//wiki/FAO_Schwarz,FAO Schwarz,retail
92,https://en.wikipedia.org//wiki/The_Food_Emporium,The Food Emporium,retail
93,https://en.wikipedia.org//wiki/Food_Network,Food Network,media
94,https://en.wikipedia.org//wiki/Foot_Locker,Foot Locker,retail
95,https://en.wikipedia.org//wiki/Forest_Laboratories,Forest Laboratories,pharmaceuticals
96,https://en.wikipedia.org//wiki/Fortress_Investment_Group,Fortress Investment Group,financial services
97,https://en.wikipedia.org//wiki/FreshDirect,FreshDirect,retail
98,"https://en.wikipedia.org//wiki/Fried,_Frank,_Harris,_Shriver_%26_Jacobson","Fried, Frank, Harris, Shriver & Jacobson",law firms
99,https://en.wikipedia.org//wiki/Flok_(business),Flok (business),AI/chatbots
100,https://en.wikipedia.org//wiki/Fullstack_Academy,Fullstack Academy,educational institutions
101,https://en.wikipedia.org//wiki/Gadget_Flow,Gadget Flow,online retail
102,https://en.wikipedia.org//wiki/GLG_Partners,GLG Partners,financial services
103,https://en.wikipedia.org//wiki/Goldman_Sachs,Goldman Sachs,financial services
104,https://en.wikipedia.org//wiki/Granite_Broadcasting_Corporation,Granite Broadcasting Corporation,media
105,https://en.wikipedia.org//wiki/Gristedes,Gristedes,retail
106,https://en.wikipedia.org//wiki/The_Guardian_Life_Insurance_Company_of_America,The Guardian Life Insurance Company of America,insurance
107,https://en.wikipedia.org//wiki/Hachette_Book_Group_USA,Hachette Book Group USA,media
108,https://en.wikipedia.org//wiki/HarperCollins,HarperCollins,media
109,https://en.wikipedia.org//wiki/HBO,HBO,media
110,https://en.wikipedia.org//wiki/Hearst_Corporation,Hearst Corporation,media
111,https://en.wikipedia.org//wiki/Hearst_Television,Hearst Television,media
112,https://en.wikipedia.org//wiki/Hess_Corporation,Hess Corporation,oil
113,https://en.wikipedia.org//wiki/HSBC_Bank_USA,HSBC Bank USA,financial services
114,https://en.wikipedia.org//wiki/IAC/InterActiveCorp,IAC/InterActiveCorp,Internet
115,https://en.wikipedia.org//wiki/Icahn_Enterprises,Icahn Enterprises,conglomerates
116,https://en.wikipedia.org//wiki/Iconix_Brand_Group,Iconix Brand Group,fashion
117,https://en.wikipedia.org//wiki/ImClone_Systems,ImClone Systems,pharmaceuticals
118,https://en.wikipedia.org//wiki/ImpreMedia,ImpreMedia,media
119,https://en.wikipedia.org//wiki/Infor,Infor,software
120,https://en.wikipedia.org//wiki/Inner_City_Broadcasting_Corporation,Inner City Broadcasting Corporation,media
121,https://en.wikipedia.org//wiki/International_Business_Times,International Business Times,media
122,https://en.wikipedia.org//wiki/International_Flavors_and_Fragrances,International Flavors and Fragrances,chemicals
123,https://en.wikipedia.org//wiki/International_Securities_Exchange,International Securities Exchange,financial exchanges
124,https://en.wikipedia.org//wiki/Interpublic_Group_of_Companies,Interpublic Group of Companies,advertising
125,https://en.wikipedia.org//wiki/J.Crew,J.Crew,fashion
126,https://en.wikipedia.org//wiki/J%26R,J&R,retail
127,https://en.wikipedia.org//wiki/Jefferies_%26_Company,Jefferies & Company,financial services
128,https://en.wikipedia.org//wiki/JetBlue_Airways,JetBlue Airways,transportation
129,https://en.wikipedia.org//wiki/JPMorgan_Chase,JPMorgan Chase,financial services
130,https://en.wikipedia.org//wiki/Kate_Spade_%26_Company,Kate Spade & Company,fashion
131,https://en.wikipedia.org//wiki/Kaye_Scholer,Kaye Scholer,law firms
132,"https://en.wikipedia.org//wiki/Keefe,_Bruyette_%26_Woods","Keefe, Bruyette & Woods",financial services
133,https://en.wikipedia.org//wiki/Kenneth_Cole_Productions,Kenneth Cole Productions,fashion
134,https://en.wikipedia.org//wiki/Kensington_Books,Kensington Books,media
135,https://en.wikipedia.org//wiki/Key_Food,Key Food,retail
136,https://en.wikipedia.org//wiki/Kohlberg_Kravis_Roberts,Kohlberg Kravis Roberts,financial services
137,https://en.wikipedia.org//wiki/Kohn_Pedersen_Fox,Kohn Pedersen Fox,construction
